Fund Name,Avg. Annual Returns,Start Date,End Date,Fund Provider,Description,Risk
S&P 500 Tech,22.44%,10/11/2020,10/11/2025,iShares,Large US tech companies like Apple,High
China Fund,22.59%,26/06/2020,26/06/2025,HSBC,Chinese companies like Alibaba,High
Blockchain & Crypto,18.65%,28/06/2020,28/06/2025,Invesco,Global companies engaged in blockchain tech,High
NASDAQ 100,16.08%,10/11/2020,10/11/2025,iShares,Tech focused US companies,High
Adventurous ESG Fund,15.98%,10/11/2024,10/11/2025,Blackrock,Higher risk & ethical,Medium
Physical Gold,15.37%,10/11/2020,10/11/2025,Invesco,Gold held in bank vaults,Medium
FTSE Global All Cap ESG,15.31%,10/11/2022,10/11/2025,Vanguard,Global ESG companies of all sizes,High
S&P 500,15.27%,10/11/2020,10/11/2025,Vanguard,The 500 largest US companies,High
FTSE All-World High Dividend,14.77%,10/11/2020,10/11/2025,Vanguard,Global large mid-sized companies paying icnome,High
UK Large & Mid Cap,14.77%,10/11/2020,10/11/2025,L&G,,High
FTSE 100,14.52%,10/11/2020,10/11/2025,Vanguard,,High
MSCI World,13.60%,10/11/2020,10/11/2025,iShares,Global large-mid sized companies,High
FTSE Developed World,13.52%,10/11/2020,10/11/2025,Vanguard,,High
FTSE All-World,12.81%,10/11/2020,10/11/2025,HSBC,Global large-mid sized companies,Medium
Physical Silver,12.85%,27/06/2020,27/06/2025,Invesco,Silver held in bank vaults,High
LifeStrategy 100%,12.63%,10/11/2020,10/11/2025,Vanguard,100% shares,Medium
FTSE Global All Cap,12.18%,10/11/2020,10/11/2025,Vanguard,Global companies of all sizes,Medium
India Fund,11.85%,10/11/2020,10/11/2025,iShares,Large mid-sized Indian companies,High
AI Fund,11.72%,27/06/2020,27/06/2025,Wisdom Tree,Artificial intelligence companies like NVIDIA,High
Asia Pacific ex-Japan Fund,11.10%,10/11/2020,10/11/2025,iShares,"Regions like Taiwan, Australia",High
Europe ex-UK Fund,11.09%,10/11/2020,10/11/2025,iShares,European comaonies excluding UK,High
S&P 600 Small-Cap,10.36%,10/11/2020,10/11/2025,iShares,Small US companies,High
Adventurous Fund,9.60%,10/11/2020,10/11/2025,Blackrock,Higher risk,Medium
LifeStrategy 80%,9.49%,10/11/2020,10/11/2025,Vanguard,80% shares,Medium
Global Small Cap,9.41%,10/11/2020,10/11/2025,Vanguard,Global small companies,High
Automation & Robotics,8.95%,10/11/2020,10/11/2025,iShares,Automaticion and robotics companies,High
Japan Fund,8.49%,10/11/2020,10/11/2025,iShares,Japannese companies like Toyota,High
Global Luxury,8.24%,27/06/2020,27/06/2025,Amundi,Tracking luxury brands like Ferrari,High
Balanced Fund,7.50%,10/11/2020,10/11/2025,Blackrock,Moderate risk,Medium
Balanced ESG Fund,7.28%,10/11/2022,10/11/2025,Blackrock,Moderate risk & ethical,Medium
S&P 400 Mid-Cap,6.28%,10/11/2020,10/11/2025,State Street SPDR,Mid-sized US companies,High
FTSE Emerging Markets,5.96%,10/11/2020,10/11/2025,Vanguard,"Regions like China, India",High
Cautious Fund,5.27%,10/11/2020,10/11/2025,Blackrock,Lower risk,Medium
Megatrends,4.31%,27/06/2024,27/06/2025,Wisdom Tree,Global megatrends,High
UK Money Market Fund,3.00%,10/11/2020,10/11/2025,Blackrock,Tracking the Bank of England cash rate,Low
LifeStrategy 40%,3.34%,10/11/2020,10/11/2025,Vanguard,40% shares,Medium
LifeStrategy 60%,6.41%,10/11/2020,10/11/2025,Vanguard,60% shares,Medium
Emerging Markets Fund,1.82%,10/11/2020,10/11/2025,Blackrock,,High
US Bond Fund,-0.58%,30/06/2020,30/06/2025,iShares,Low risk US government bonds,Low
Healthcare Innovation,-1.63%,10/11/2020,10/11/2025,iShares,Companies transforming global healthcare,High
Clean Energy,-2.93%,10/11/2020,10/11/2025,iShares,Companies powering the clean energy shift,High
Semiconductor Fund,40.98%,10/11/2022,10/11/2025,VanEck,Top US semiconductor companies,High
Space Innovators,65.04%,14/05/2024,14/05/2025,VanEck,Commercial space-age companies,High